Título;Preço;Taxa de Condomínio;IPTU;Área;Banheiros;Vagas na Garagem;Detalhes do Imóvel;Detalhes do Condominio;CEP;Município;Bairro;Logradouro;Quartos
OPORTUNIDADE! Apartamento no Barro Vermelho com 3 quartos e um ótimo preço;370000;800;0;100;3;2;empty;empty;59022120;Natal;Barro Vermelho;Rua Doutor José Bezerra;3
Belíssimo Apartamento A Venda no Natal Brisa - 02 Quartos;265000;420;1500;57;2;1;Academia, Churrasqueira, Piscina;Portaria, Permitido animais, Condomínio fechado, Academia, Piscina, Elevador, Salão de festas;59067480;Natal;Pitimbu;Rua das Perdizes;2
Apartamento na melhor localidade de Tirol - Natal - RN;850000;1285;0;136;4;2;Piscina, Ar condicionado, Academia, Varanda, Churrasqueira;Permitido animais, Salão de festas, Condomínio fechado, Elevador, Portaria, Academia, Piscina;59015120;Natal;Tirol;Rua General Oliveira Galvão;3
Apartamento com mais de 300 m² em Candelária !;1200000;1500;0;318;4;3;Área de serviço, Armários embutidos, Armários na cozinha, Varanda, Quarto de serviço, Piscina;Portaria, Piscina, Condomínio fechado, Elevador;59064520;Natal;Candelária;Rua Senador José Ferreira de Souza;4
Apartamento com 4 quartos à venda, 239 m² Edifício Tancredo Neves  - Petrópolis - Natal/RN;920000;1750;0;239;4;2;Área de serviço;Elevador;59012340;Natal;Petrópolis;Rua Joaquim Fabrício;4
solar candelaria em Candelária;240000;1;1;57;2;1;Academia, Churrasqueira, Piscina;Elevador, Academia, Permitido animais, Condomínio fechado, Salão de festas, Portaria, Piscina;59064510;Natal;Candelária;Rua Lafayete Lamartine;2
Apartamento mobiliado e reformado em Neópolis - 2 quartos- 67m²;350000;412;0;67;2;1;Academia, Ar condicionado, Varanda, Churrasqueira, Piscina, Mobiliado;Elevador, Condomínio fechado, Permitido animais, Portaria, Academia, Piscina, Salão de festas;59086005;Natal;Neópolis;Rua Lúcia Viveiros;2
Apartamento para venda tem 336 metros quadrados com 4 suítes em Tirol - Natal - RN;1850000;2000;9000;336;5 ou mais;4;Churrasqueira, Academia, Piscina;Portaria, Condomínio fechado, Salão de festas, Academia, Piscina;59020570;Natal;Tirol;Rua Coronel Guerreiro;4
Para você investidor! Apartamento mobiliado no Ed. Blue Ocean;495000;0;0;56;2;1;Ar condicionado, Mobiliado, Varanda, Academia, Piscina, Churrasqueira;Piscina, Condomínio fechado, Portaria, Permitido animais, Elevador, Salão de festas, Academia;59090430;Natal;Ponta Negra;Rua Doutor Manoel Augusto Bezerra de Araújo;2
Apartamento para venda com 112m2 Cidade Alta;250000;502;1794;112;3;1;Varanda;Condomínio fechado, Permitido animais, Elevador, Salão de festas;59025145;Natal;Cidade Alta;Avenida Deodoro da Fonseca - de 574 a 834 - lado par;2
COSTA DO ATLÂNTICO;680000;1400;0;200;1;2;Academia, Mobiliado, Churrasqueira, Ar condicionado, Área de serviço, Varanda;Elevador, Salão de festas, Academia, Condomínio fechado;59015350;Natal;Tirol;Avenida Almirante Alexandrino de Alencar;3
Apartamento no Cond. Sun Golden - Excelente Oportunidade;230000;350;1200;57;2;1;Churrasqueira, Academia, Piscina;Elevador, Segurança 24h, Piscina, Academia, Condomínio fechado;59091130;Natal;Ponta Negra;Rua Joaquim Eduardo de Farias;2
Apartamento no Planalto podendo não gerar entrada no financiamento;130000;1;1;50;1;1;Churrasqueira, Piscina;Condomínio fechado, Portaria, Piscina, Salão de festas, Permitido animais, Elevador;59073091;Natal;Planalto;Travessa Abreulândia;2
Cond. Resid. Lourdes Lamartine 4/4 sdo 2 Suites c/ Dep. e Móveis planejados;700000;1150;0;160;4;2;Armários na cozinha, Piscina, Academia, Varanda, Área de serviço, Quarto de serviço, Churrasqueira;Salão de festas, Elevador, Portaria, Condomínio fechado, Permitido animais, Academia, Piscina;59014610;Natal;Tirol;Rua Desembargador Silvério Soares;4
Apartamento para Venda em Natal, Dix-Sept Rosado, 2 dormitórios, 1 banheiro, 1 vaga;110000;190;600;57;1;1;empty;empty;59052061;Natal;Dix-Sept Rosado;1ª Travessa Sampaio Correia;2
NATAL - Apartamento Padrão - Tirol;423000;0;0;68;2;1;empty;empty;59022200;Natal;Tirol;Rua Monsenhor José Paulino;2
NATAL - Apartamento Padrão - Tirol;1400000;1470;0;270;4;1;Piscina, Churrasqueira, Área de serviço;Salão de festas, Piscina;59063350;Natal;Lagoa Nova;Avenida Amintas Barros - de 2596 a 3192 - lado par;4
Apartamento com 3 dormitórios à venda, 75 m² por R$ 130.000 - Cidade Alta - Natal/RN;130000;0;0;75;2;empty;Área de serviço;empty;59025400;Natal;Cidade Alta;Rua Princesa Isabel - de 391/392 ao fim;3
Apartamento para venda possui 292 metros quadrados com 3 quartos em Petrópolis - Natal - R;1500000;1600;600;292;5 ou mais;3;Churrasqueira, Piscina, Varanda, Ar condicionado, Academia, Mobiliado;Academia, Salão de festas, Piscina, Condomínio fechado, Elevador;59012340;Natal;Petrópolis;Rua Joaquim Fabrício;3
Apartamento com 2 dormitórios à venda, 61 m² por R$ 154.900,00 - Capim Macio - Natal/RN;154900;0;0;61;2;1;Área de serviço;empty;59082440;Natal;Capim Macio;Rua Prefeito Expedito Alves;2
Disponível para venda  Apartamento no Condomínio Residencial Porto Paladio;169990;0;0;65;2;1;empty;empty;59091130;Natal;Ponta Negra;Rua Joaquim Eduardo de Farias;2
Disponível para venda  Terrazzo Ponta Negra Flat;290000;748;1100;34;2;1;empty;empty;59090177;Natal;Ponta Negra;Rua Altemar Dutra;1
Apartamento para Venda em Natal, TIROL, 1 dormitório, 1 suíte, 1 vaga;270000;600;157920;57;1;1;empty;empty;59022530;Natal;Barro Vermelho;Rua Doutor Múcio Galvão;1
Apartamento para Venda em Natal, Lagoa Nova, 3 dormitórios, 2 banheiros, 1 vaga;175000;350;0;96;2;1;empty;empty;59054380;Natal;Lagoa Nova;Avenida Antônio Basílio - de 1560 a 2266 - lado par;3
Apartamento com 139m² - 3 quartos  varanda - 2 vagas  sombra  Lagoa Nova;400000;700;3450;139;3;2;Varanda, Piscina;Piscina, Elevador;59056040;Natal;Lagoa Nova;Rua Doutor José Borges;3
Apartamento com 3 dormitórios à venda, 100 m² por R$ 350.000,00 - Candelária - Natal/RN;350000;600;0;100;3;3;Área de serviço, Ar condicionado, Piscina, Churrasqueira;Elevador, Piscina;59064500;Natal;Candelária;Rua Jaguarari - de 2533/2534 ao fim;3
Apartamento com 2 dormitórios à venda, 57 m² por R$ 270.000,00 - Tirol - Natal/RN;270000;370;0;57;2;1;Piscina, Churrasqueira;Elevador, Piscina;59020130;Natal;Tirol;Rua Apodi - de 303/304 ao fim;2
EDIFICIO ALTO DO JURUÁ>;200000;580;1400;56;2;1;Academia, Churrasqueira, Mobiliado, Área de serviço, Ar condicionado;Segurança 24h, Elevador, Academia;59014020;Natal;Petrópolis;Rua Desembargador Dionísio Filgueira;2
Apartamento em Capim Macio;400000;0;0;150;2;2;Piscina;Piscina;59082000;Natal;Capim Macio;Rua Ismael Pereira da Silva;3
Flat para venda tem 34 metros quadrados com 1 quarto em Ponta Negra - Natal - RN;290000;748;1000;34;2;1;Piscina, Mobiliado, Ar condicionado;Salão de festas, Permitido animais, Piscina, Condomínio fechado, Portaria;59090145;Natal;Ponta Negra;Avenida Engenheiro Roberto Freire - de 4657 a 5019 - lado ímpar;1
Apartamento para venda em ponta negra com 60 metros quadrados com 2 quartos/ sendo 1 suíte;399990;440;0;60;2;1;Churrasqueira, Mobiliado, Piscina, Academia;Elevador, Salão de festas, Permitido animais, Condomínio fechado, Piscina, Academia;59092500;Natal;Ponta Negra;Avenida Deputado Antônio Florêncio de Queiroz;2
APARTAMENTO 3 SUÍTES NO BAIRRO DE TIROL.;650000;1280;3490;175;5 ou mais;2;Churrasqueira, Piscina, Academia, Ar condicionado, Mobiliado;Piscina, Academia, Salão de festas, Elevador, Condomínio fechado, Permitido animais;59014005;Natal;Mãe Luiza;Travessa João XXIII;3
Apartamento 3 suítes as no condomínio Tirol Garden.;1300000;0;0;160;5 ou mais;3;Academia, Varanda, Ar condicionado, Churrasqueira, Mobiliado;Salão de festas, Elevador, Permitido animais, Condomínio fechado, Academia;59015120;Natal;Tirol;Rua General Oliveira Galvão;3
ED TIROL LAGOA - EMPREENDIMENTO;950000;0;0;137;5 ou mais;3;empty;empty;59020058;Natal;Petrópolis;Avenida Rodrigues Alves - até 599/600;3
Edifício lindo, cheirinho de NOVO;292000;0;0;65;1;1;empty;Elevador, Condomínio fechado;59056180;Natal;Lagoa Nova;Rua Doutor Poty Nóbrega;2
Apartamento para venda possui 50 metros quadrados com 2 quartos em Ponta Negra - Natal - R;270000;0;0;50;1;1;Piscina, Ar condicionado;Permitido animais, Condomínio fechado, Piscina;59090170;Natal;Ponta Negra;Rua Doutor Silvino Meira e Sá Bezerra;2
Vendo excelente apartamento em Capim Macio 3 quartos 2 suites;649000;600;0;85;3;2;Piscina, Academia;Academia, Piscina, Salão de festas;59082060;Natal;Capim Macio;Rua Américo Soares Wanderley;3
Prédio Residencial para Venda em Natal, Ponta Negra;1080000;0;0;600;empty;empty;Mobiliado;empty;59090380;Natal;Ponta Negra;Rua Curimatã;0
Apartamento à venda em Petrópolis, perto do mar, 130m², 3 quartos(1 suíte), excelente loca;450000;1100;3028;130;3;2;Armários embutidos, Área de serviço, Armários na cozinha, Ar condicionado;Condomínio fechado, Elevador, Permitido animais, Portaria, Salão de festas;59012300;Natal;Petrópolis;Avenida Nilo Peçanha;3
Apartamento com 1 dormitório à venda, 45 m² por R$ 157.000,00 - Candelária - Natal/RN;157000;400;906;45;1;empty;empty;Elevador;59064580;Natal;Candelária;Rua Miguel Rocha;1
Apartamento com 270 m2 - 4 suítes - Oceanos Areia Preta - Vista Mar - Escriturado;1900000;1900;0;270;5 ou mais;3;Piscina, Ar condicionado, Academia, Churrasqueira;Salão de festas, Piscina, Portaria, Condomínio fechado, Permitido animais, Academia;59014100;Natal;Areia Preta;Avenida Governador Sílvio Pedroza;4
Não perca essa oportunidade 345.000,00;345000;385;empty;64;2;2;Área de serviço, Armários na cozinha, Ar condicionado, Varanda, Academia, Piscina, Churrasqueira;Condomínio fechado, Elevador, Segurança 24h, Portaria, Permitido animais, Academia, Piscina, Salão de festas;59086005;Natal;Neópolis;Rua Lúcia Viveiros;2
Apartamento com 3 quartos em Lagoa Nova;469000;700;2900;104;2;2;Academia, Churrasqueira, Ar condicionado, Piscina;Elevador, Academia, Portaria, Piscina, Condomínio fechado, Permitido animais, Salão de festas;59075810;Natal;Lagoa Nova;Avenida Amintas Barros - de 3194 a 3832 - lado par;3
Apartamento com 4 suítes em Areia Preta;2200000;1875;6000;250;5 ou mais;4;Churrasqueira, Academia, Ar condicionado, Piscina, Varanda;Piscina, Academia, Permitido animais, Elevador, Condomínio fechado, Salão de festas, Portaria;59014060;Natal;Areia Preta;Rua Pinto Martins;4
*Apartamento para venda tem 200 metros quadrados com 3 quartos;195000;0;0;200;2;2;empty;empty;59075350;Natal;Nova Descoberta;Rua Claudionor de Andrade;3
Terramaris Apartamento Vista Mar 79m² Andar Alto | Ponta Negra;599999;550;2500;79;2;2;Academia, Varanda, Área de serviço, Piscina, Quarto de serviço, Churrasqueira;Elevador, Permitido animais, Portaria, Condomínio fechado, Salão de festas, Piscina, Academia;59092500;Natal;Ponta Negra;Avenida Deputado Antônio Florêncio de Queiroz;3
Terramaris Condominio Clube com 101m2 com 3 quartos sendo 2 suítes (Oportunidade);699990;550;3000;101;3;2;Varanda, Piscina, Churrasqueira, Área de serviço, Academia, Quarto de serviço;Portaria, Salão de festas, Academia, Permitido animais, Piscina, Elevador, Condomínio fechado;59092500;Natal;Ponta Negra;Avenida Deputado Antônio Florêncio de Queiroz;3
Apartamento com fácil acesso e bem localizado no Tirol !;315000;0;0;55;2;1;Piscina, Área de serviço, Armários na cozinha, Ar condicionado;Piscina, Portaria, Condomínio fechado, Elevador, Salão de festas;59022250;Natal;Tirol;Rua Dom José Tomaz;2
Apartamento em Capim macio para venda possui 85m² com 3 quartos - Natal - RN;680000;600;2400;85;3;2;Academia, Ar condicionado, Piscina, Churrasqueira, Mobiliado;Elevador, Condomínio fechado, Piscina, Salão de festas, Permitido animais, Academia;59082060;Natal;Capim Macio;Rua Américo Soares Wanderley;3
Apartamento em Capim macio para vender em Natal rn.;160000;375;0;65;1;1;empty;empty;59082180;Natal;Capim Macio;Rua Professora Dirce Coutinho;2
Apartamento com 3 dormitórios à venda, 128 m² por R$ 750.000,00 - Lagoa Nova - Natal/RN;750000;786;3842;128;4;3;Mobiliado, Piscina, Varanda, Churrasqueira, Área de serviço, Ar condicionado;Piscina, Elevador;59064364;Natal;Lagoa Nova;Rua Anísio de Souza;3
Apartamento à venda em Ponta Negra (Natal/RN) | Residencial Terramaris - 79m - 3 dormitóri;730000;650;2472;79;2;2;Área de serviço, Varanda, Piscina, Churrasqueira, Academia;Piscina, Salão de festas, Academia, Permitido animais;59092500;Natal;Ponta Negra;Avenida Deputado Antônio Florêncio de Queiroz;3
VERANO PONTA NEGRA;265000;450;290;57;2;2;Armários embutidos, Ar condicionado, Churrasqueira, Varanda, Academia, Piscina;Condomínio fechado, Elevador, Segurança 24h, Portaria, Permitido animais, Academia, Piscina, Salão de festas;59090480;Natal;Ponta Negra;Rua da Campina;2
APARTAMENTO NO CONDOMÍNIO VITA RESIDENCIAL CLUB 2 QUARTOS;225000;326;1246;49;1;1;Churrasqueira, Piscina, Ar condicionado;Elevador, Piscina;59067400;Natal;Pitimbu;Avenida dos Caiapós;2
Apartamento à venda totalmente reformado -  com vista para o mar de Ponta Negra;560000;607;2000;51;2;1;Varanda, Mobiliado, Piscina, Ar condicionado;Elevador, Segurança 24h, Salão de festas, Piscina;59092020;Natal;Ponta Negra;Rua Praia Farol da Barra;1
Excelente flat à venda com 2 quartos, 54m²  em Ponta Negra, Natal/RN;270000;505;1800;54;1;empty;Mobiliado, Ar condicionado, Varanda, Piscina;Piscina, Elevador;59090020;Natal;Ponta Negra;Rua Sergipe;2
Apartamento com dois quartos a venda no Barro vermelho;270000;390;1621;57;2;1;Piscina, Churrasqueira;Elevador, Piscina;59022120;Natal;Barro Vermelho;Rua Doutor José Bezerra;2
Apartamento no condomínio L'Acqua 3quartos sendo uma suíte em Neópolis Natal RN;440000;500;0;92;3;2;Quarto de serviço, Área de serviço, Academia, Varanda, Churrasqueira, Piscina;Piscina, Salão de festas, Permitido animais, Elevador, Condomínio fechado, Academia, Portaria;59086005;Natal;Neópolis;Rua Lúcia Viveiros;3
Lindo apartamento à venda c/ 2 quartos todo reformado na entrada de Natal/RN;180000;300;0;52;1;1;Churrasqueira, Piscina;Segurança 24h, Elevador, Piscina;59067400;Natal;Pitimbu;Avenida dos Caiapós;2
A venda apartamento 3 quartos, 100m, bairro Capim Macio;530000;675;0;100;2;2;Ar condicionado, Academia, Churrasqueira, Piscina;Academia, Salão de festas, Permitido animais, Elevador, Piscina, Condomínio fechado, Portaria;59082160;Natal;Capim Macio;Rua Abraham Tahim;3
Belíssimo apartamento no elegante bairro Tirol - Natal - RN;742900;0;0;88;3;empty;Academia, Piscina, Churrasqueira;Condomínio fechado, Portaria, Academia, Piscina, Elevador, Salão de festas;59014540;Natal;Tirol;Rua Capitão Abdon Nunes;3
Ótimo Apartamento todo reformado no Ville Sainte Anne - Venda R$390 mil - Bairro - Lagoa N;390000;1100;0;93;2;2;Ar condicionado, Área de serviço, Piscina, Churrasqueira;Elevador, Piscina;59063130;Natal;Lagoa Nova;Rua Barão do Curumataú;3
